simulation time,tem0 size,tem1 size
0,9144,787
1,6791,327
2,5983,246
3,5484,193
4,5298,169
5,5131,166
6,4878,163
7,4759,162
8,4695,162
9,4648,162
10,4618,162
11,4573,162
12,4415,124
13,4338,124
14,4312,124
15,4273,123
16,4238,123
17,4235,123
18,4170,86
19,4116,86
20,4104,86
21,4065,86
22,4060,86
23,4047,86
24,3945,85
25,3898,84
26,3890,84
27,3809,84
28,3772,84
29,3689,84
30,3617,84
31,3617,84
32,3595,84
33,3578,84
34,3552,84
35,3481,82
36,3449,82
37,3427,82
38,3427,82
39,3426,82
40,3380,82
41,3380,82
42,3375,82
43,3246,82
44,3220,82
45,3188,82
46,3180,82
47,3176,82
48,3175,82
49,3174,82
50,3152,82
51,3152,82
52,3086,82
53,3066,82
54,3019,82
55,3018,82
56,2940,82
57,2936,82
58,2926,82
59,2925,82
60,2918,82
61,2907,82
62,2873,82
63,2867,82
64,2854,82
65,2854,82
66,2854,82
67,2839,82
68,2823,82
69,2783,82
70,2770,82
71,2770,82
72,2770,82
73,2696,82
74,2691,82
75,2691,82
76,2688,82
77,2655,82
78,2644,82
79,2643,82
80,2636,82
81,2619,82
82,2594,82
83,2593,82
84,2587,82
85,2587,82
86,2586,82
87,2564,82
88,2556,82
89,2550,82
90,2550,82
91,2522,82
92,2517,82
93,2509,82
94,2508,82
95,2507,82
96,2500,82
97,2498,82
98,2491,82
99,2481,82
100,2475,82
101,2475,82
102,2475,82
103,2470,82
104,2466,82
105,2465,82
106,2462,82
107,2456,82
108,2454,82
109,2451,82
110,2433,82
111,2432,82
112,2432,82
113,2429,82
114,2429,82
115,2426,82
116,2412,82
117,2411,82
118,2411,82
119,2411,82
120,2411,82
121,2411,82
122,2411,82
123,2411,82
124,2411,82
125,2411,82
126,2409,82
127,2407,82
128,2407,82
129,2406,82
130,2404,82
131,2402,82
132,2397,82
133,2393,82
134,2393,82
135,2393,82
136,2382,82
137,2382,82
138,2380,82
139,2380,82
140,2375,82
141,2372,82
142,2372,82
